china_pred,nigeria_pred,sa_pred,yemen_pred,china_r2,nigeria_r2,sa_r2,yemen_r2,china_rmse,nigeria_rmse,sa_rmse,yemen_rmse
-0.2982656,-0.9391384,-0.098737076,0.20905283,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.42020148,-0.93777764,-0.17323425,0.27576613,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.31148505,-0.9223425,-0.21166116,0.24920878,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.2639759,-0.93974406,-0.23461048,0.19349019,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.34845197,-0.94297093,-0.053518422,0.27777404,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.038038567,-0.9486777,-0.13020809,0.20598133,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.025149882,-0.9356196,-0.047590323,0.15617533,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.036898106,-0.91784453,-0.031321198,0.26564872,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.105954416,-0.90757555,-0.0740822,0.24056286,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.3910139,-0.89277256,-0.031266447,0.18083903,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.45378977,-0.8261838,-0.009045399,0.29184192,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.37618864,-0.7516538,-0.12736616,0.24538758,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.41194412,-0.7673047,-0.13747728,0.21280456,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.5751071,-0.68138844,-0.1626838,0.26984,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6384222,-0.4132728,-0.2755094,0.2068037,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6937019,-0.49614227,-0.40145537,0.17204511,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.7189448,-0.3149564,-0.29204923,0.24738704,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.7341488,-0.05573214,-0.33513024,0.16387728,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.7560156,-0.16614202,-0.43092552,0.10884577,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6875279,-0.02709844,-0.39095327,0.20939073,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.49920693,0.15567827,-0.48425612,0.19326447,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.37541783,0.22955942,-0.56687796,0.14955391,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.52441657,0.32361287,-0.51569337,0.24031119,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.44517276,0.33935896,-0.5868784,0.21339506,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.40373215,0.38027498,-0.66440845,0.1950407,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.5004842,0.42844376,-0.53613055,0.2939542,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.294077,0.2886481,-0.3043129,0.24681859,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.11493945,0.26191378,-0.2545551,0.19915763,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.05249473,0.16922003,-0.3247749,0.299515,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
